Sample,0_Mean_Ang,0_Variance_Ang,0_Skewness_Ang,0_Kurtosis_Ang,0_Standard_dev_Ang,0_Max_Ang,Dyn_Range_Ang,0_Mean_bra,0_Variance_bra,0_Skewness_bra,0_Kurtosis_bra,0_Standard_bra,0_Max_bra,Dyn_Range_bra,0_Mean_thr,0_Variance_thr,0_Skewness_thr,0_Kurtosis_thr,0_Standard_dev_thr,0_Max_thr,Dyn_Range_thr,DRIVER
174,3.384265368,0.028274618,-1.749545083,1.073814227,0.168150581,3.465897988,0.452825584,0.033912108,0.00793989,2.777690608,6.951388831,0.089106062,0.416776094,0.416776094,0.363184233,0.038143289,-1.167086974,-0.483549642,0.19530307,0.494233732,0.494233732,1
175,1.103605106,1.568774808,0.611929621,-1.30879684,1.252507408,3.013072404,3.037685173,0.137793452,0.061334842,1.343597261,-0.041844322,0.247658721,0.676366946,0.676366946,0.389454873,0.060919043,-0.827888032,-1.154866421,0.246817834,0.590036527,0.590036527,1
176,7.295570094,10.70300652,-0.03377326,-1.252027399,3.271544974,12.99231878,10.98913583,0,0,0,-3,0,0,0,0.563051993,0.000143414,1.054302932,-0.398512494,0.011975576,0.590036527,0.036376668,1
177,16.53021256,3.94311715,-0.420701906,-1.139841775,1.985728368,18.69409164,6.64824924,0,0,0,-3,0,0,0,0.56262737,1.36E-05,-1.289504072,1.106232206,0.003688989,0.565932765,0.012272906,1
178,4.90383816,3.987372772,2.067475367,3.347406346,1.996840698,11.88313286,8.438801653,0,0,0,-3,0,0,0,0.563272537,2.76E-05,0.769405112,-0.295671917,0.00525277,0.574029075,0.016260928,1
179,-21.00204668,2.4143902,-0.21770063,-1.460143547,1.553830815,-18.68447804,4.46755635,0.214351222,0.119325513,1.062135057,-0.795082516,0.345435252,0.843233784,0.843233784,0.444117532,0.110350249,-0.41513862,-1.637228183,0.33219008,0.77474904,0.77474904,2
180,-14.0656743,113.3136185,0.858951297,-0.905403253,10.64488696,6.632376423,29.78441081,0,0,0,-3,0,0,0,0.482557241,0.083676486,-0.576323622,-1.296762712,0.289268882,0.77474904,0.764674288,2
181,0.422659347,1.471479283,4.966295521,24.59162939,1.213045458,7.254323905,7.534295018,0,0,0,-3,0,0,0,0.229685946,0.004088173,-1.93085787,3.629814095,0.06393882,0.290274153,0.287446405,2
182,-0.605883146,0.003992441,3.248247158,10.16340759,0.063185766,-0.304584132,0.329204761,0,0,0,-3,0,0,0,0.262843899,0,0,-3,0,0.262843899,0,2
183,-0.284032293,0.000894109,-3.896598627,17.32130364,0.029901648,-0.267664619,0.193828692,0,0,0,-3,0,0,0,0.272292572,2.51E-05,-0.844085917,-0.183597644,0.005014904,0.27938256,0.016538661,2
184,-0.137031656,0.083369339,1.46004559,0.292579841,0.288737492,0.526103707,0.818381324,0,0,0,-3,0,0,0,0.281833607,1.80E-05,1.306318719,-0.082635424,0.004244888,0.290274153,0.010891593,2
185,0.067538514,0.240510818,1.129128072,0.287512716,0.490419023,1.206095277,1.633745234,0,0,0,-3,0,0,0,0.290274153,3.08E-33,0,-3,5.55E-17,0.290274153,0,2
186,0.698745531,0.06777689,0.888505916,-0.658486152,0.260339951,1.206095277,0.716911856,0,0,0,-3,0,0,0,0.355257393,0.002912241,-0.307248949,-1.841323209,0.053965183,0.407244164,0.116970011,2
187,-0.06990032,0.099427124,0.629621898,-1.028250189,0.315320668,0.489183421,1.119895572,0,0,0,-3,0,0,0,0.493654711,0.007151952,-0.114703076,-1.868205878,0.084569217,0.586063247,0.188445836,2
188,-4.693764347,7.060411403,-0.083234502,-1.377071451,2.657143467,-0.698400826,8.075015072,0,0,0,-3,0,0,0,0.439120164,0.014731792,-1.733265694,2.123729916,0.121374592,0.545390589,0.520982636,2
189,-5.442364667,0.81183253,-0.201470813,-1.622922611,0.901017497,-4.35974414,2.387072832,0,0,0,-3,0,0,0,0.454570842,0.002181419,-0.802578523,0.183253553,0.046705665,0.502949888,0.191294209,2
190,-5.527339857,0.160987538,1.556956686,1.110068789,0.401232523,-4.399831231,1.422750178,0,0,0,-3,0,0,0,0.351486394,0.042550479,-0.813333541,-1.237998652,0.206277674,0.502949888,0.50012214,2
191,-4.82251938,0.377388639,-0.36169281,-1.665904164,0.614319655,-4.180914107,1.437820744,0,0,0,-3,0,0,0,0.278159161,0.006544886,-1.964120289,2.608035391,0.080900472,0.322171856,0.297763903,2
192,-2.944154142,1.852661449,0.548509347,-0.968990859,1.361125067,-0.119987315,4.415535852,0,0,0,-3,0,0,0,0.360114148,0.00020274,-2.028407992,2.542761965,0.01423869,0.368129684,0.045957828,2
193,-1.673509162,0.509748391,1.097337003,-0.498233492,0.713966659,-0.119987315,2.064809616,0,0,0,-3,0,0,0,0.368129684,1.23E-32,0,-3,1.11E-16,0.368129684,0,2
194,-1.195455632,1.229649042,1.394741098,0.201864955,1.108895415,1.190709667,3.323175449,0,0,0,-3,0,0,0,0.324029087,0.007779023,-2.133837779,3.526280979,0.088198768,0.368129684,0.365301936,2
195,0.812388658,0.181407489,1.766911254,2.008575706,0.425919581,2.17556192,1.747911963,0.843296775,0.048148366,-2.140166101,3.964356773,0.219427359,1,0.982732111,0,0,0,-3,0,0,0,2
196,2.790202365,0.550234829,0.538533803,-1.709963148,0.741778153,3.758628905,1.536891484,0.489395588,0.159956769,-0.315501106,-1.788522124,0.399945958,0.909999662,0.909999662,0.124883388,0.029798288,0.792130892,-1.172073926,0.172621805,0.453991789,0.453991789,2
197,2.386517149,1.561409508,0.05139248,-1.832888307,1.249563727,3.767874255,2.903325116,0,0,0,-3,0,0,0,0.48094055,0.00054945,-0.321582339,-1.522396473,0.023440345,0.511588239,0.06676706,2
198,-0.128795776,0.53575012,-0.074922896,-1.488551722,0.731949534,0.870702882,2.015256116,0,0,0,-3,0,0,0,0.421222551,9.33E-05,1.867900311,1.665231049,0.009661395,0.444821179,0.028045085,2
199,-1.033537098,0.033258142,3.968776338,16.04370008,0.182368149,-0.01538298,1.129170254,0,0,0,-3,0,0,0,0.416776094,3.08E-33,0,-3,5.55E-17,0.416776094,0,2
200,0.408962996,0.434059695,-0.176168716,-1.39167172,0.658832069,1.218403815,1.799888274,0,0,0,-3,0,0,0,0.416776094,3.08E-33,0,-3,5.55E-17,0.416776094,0,2
